Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
NZ_CP024391.1	Borrelia miyamotoi strain Izh-4 plasmid pIzh4-lp72, complete sequence	linear	73492	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia miyamotoi	pIzh4-lp72	Izh-4	juin-16	Russia: Izhevsk	NA	NA	NA	NA	Non-mobilizable
NZ_CP024393.1	Borrelia miyamotoi strain Izh-4 plasmid pIzh4-lp41, complete sequence	linear	41127	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia miyamotoi	pIzh4-lp41	Izh-4	juin-16	Russia: Izhevsk	NA	NA	NA	NA	Non-mobilizable
NZ_CP024395.1	Borrelia miyamotoi strain Izh-4 plasmid pIzh4-3, complete sequence	circular	30091	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia miyamotoi	pIzh4-3	Izh-4	juin-16	Russia: Izhevsk	NA	NA	NA	NA	Non-mobilizable
NZ_CP024397.1	Borrelia miyamotoi strain Izh-4 plasmid pIzh4-lp23, complete sequence	linear	27717	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia miyamotoi	pIzh4-lp23	Izh-4	juin-16	Russia: Izhevsk	NA	NA	NA	NA	Non-mobilizable
NZ_CP024407.1	Borrelia miyamotoi strain Izh-4 plasmid pIzh4-lp6, complete sequence	linear	5851	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia miyamotoi	pIzh4-lp6	Izh-4	juin-16	Russia: Izhevsk	NA	NA	NA	NA	Non-mobilizable
NZ_CP024409.1	Staphylococcus epidermidis strain SE90 plasmid p1_90, complete sequence	circular	19082	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	p1_90	SE90	2014	Benin	rep_cluster_1110	NA	NA	NA	Non-mobilizable
NZ_CP024414.1	Lactobacillus plantarum strain ATCC 8014 plasmid pLP49, complete sequence	circular	49515	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pLP49	ATCC 8014	NA	NA	rep_cluster_707,rep_cluster_1255	MOBQ	NA	NA	Mobilizable
NZ_CP024415.1	Lactobacillus plantarum strain ATCC 8014 plasmid pLP39, complete sequence	circular	39069	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pLP39	ATCC 8014	NA	NA	NA	NA	NA	NA	Non-mobilizable
NZ_CP024416.1	Lactobacillus plantarum strain ATCC 8014 plasmid pLP9042, complete sequence	circular	9042	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pLP9042	ATCC 8014	NA	NA	NA	NA	NA	NA	Non-mobilizable
NZ_CP024417.1	Lactobacillus plantarum strain ATCC 8014 plasmid pLP9039, complete sequence	circular	9039	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	pLP9039	ATCC 8014	NA	NA	rep_cluster_1255	NA	NA	NA	Non-mobilizable
NZ_CP024419.1	Acinetobacter baumannii strain A388 plasmid pA388, complete sequence	circular	33036	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	pA388	A388	2002	Greece	rep_cluster_1172	MOBP	NA	NA	Mobilizable
NZ_CP024423.1	Paracoccus yeei strain TT13 plasmid pTT13-1, complete sequence	circular	327671	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pTT13-1	TT13	23/09/2016	South Korea: Changwon	rep_cluster_229	NA	NA	NA	Non-mobilizable
NZ_CP024424.1	Paracoccus yeei strain TT13 plasmid pTT13-2, complete sequence	circular	225271	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pTT13-2	TT13	23/09/2016	South Korea: Changwon	rep_cluster_746	NA	NA	NA	Non-mobilizable
NZ_CP024425.1	Paracoccus yeei strain TT13 plasmid pTT13-3, complete sequence	circular	167927	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pTT13-3	TT13	23/09/2016	South Korea: Changwon	rep_cluster_508	NA	NA	NA	Non-mobilizable
NZ_CP024426.1	Paracoccus yeei strain TT13 plasmid pTT13-4, complete sequence	circular	172023	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pTT13-4	TT13	23/09/2016	South Korea: Changwon	rep_cluster_969	NA	NA	NA	Non-mobilizable
NZ_CP024427.1	Paracoccus yeei strain TT13 plasmid pTT13-5, complete sequence	circular	114679	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pTT13-5	TT13	23/09/2016	South Korea: Changwon	rep_cluster_565	NA	NA	NA	Non-mobilizable
NZ_CP024428.1	Paracoccus yeei strain TT13 plasmid pTT13-6, complete sequence	circular	24567	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus yeei	pTT13-6	TT13	23/09/2016	South Korea: Changwon	rep_cluster_1664	NA	NA	NA	Non-mobilizable
NZ_CP024430.1	Klebsiella pneumoniae strain DA48896 plasmid p48896_1, complete sequence	circular	131243	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	p48896_1	DA48896	juin-15	Pakistan	IncR,IncFIIA,IncFII	MOBP,MOBF	MPF_F	MOBP	Conjugative
NZ_CP024431.1	Klebsiella pneumoniae strain DA48896 plasmid p48896_2, complete sequence	circular	114815	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	p48896_2	DA48896	juin-15	Pakistan	rep_cluster_1418,IncFII	MOBP	MPF_I	NA	Conjugative
NZ_CP024432.1	Klebsiella pneumoniae strain DA48896 plasmid p48896_3, complete sequence	circular	45291	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	p48896_3	DA48896	juin-15	Pakistan	NA	NA	NA	NA	Non-mobilizable
NZ_CP024433.1	Klebsiella pneumoniae strain DA48896 plasmid p48896_4, complete sequence	circular	55118	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	p48896_4	DA48896	juin-15	Pakistan	rep_cluster_1	NA	NA	NA	Non-mobilizable
NZ_CP024434.1	Klebsiella pneumoniae strain DA48896 plasmid p48896_5, complete sequence	circular	4715	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	p48896_5	DA48896	juin-15	Pakistan	ColRNAI_rep_cluster_1857	NA	NA	MOB_unknown,MOBP	Mobilizable
NZ_CP024435.1	Klebsiella pneumoniae strain DA48896 plasmid p48896_6, complete sequence	circular	4167	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	p48896_6	DA48896	juin-15	Pakistan	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024436.1	Klebsiella pneumoniae strain DA48896 plasmid p48896_7, complete sequence	circular	2056	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	p48896_7	DA48896	juin-15	Pakistan	ColRNAI_rep_cluster_1993	NA	NA	NA	Non-mobilizable
NZ_CP024439.1	Staphylococcus epidermidis strain SE95 plasmid p_2_95, complete sequence	circular	9492	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	p_2_95	SE95	2014	Benin	rep_cluster_1215	MOBQ	NA	NA	Mobilizable
NZ_CP024440.1	Staphylococcus epidermidis strain SE95 plasmid p_3_95, complete sequence	circular	4536	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	p_3_95	SE95	2014	Benin	rep_cluster_1118	MOBV	NA	NA	Mobilizable
NZ_CP024444.1	Moraxella osloensis strain NP7 plasmid pNP7-1, complete sequence	circular	271709	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis	pNP7-1	NP7	22/09/2016	South Korea: Changwon	rep_cluster_1481	NA	NA	NA	Non-mobilizable
NZ_CP024445.1	Moraxella osloensis strain NP7 plasmid pNP7-2, complete sequence	circular	134961	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis	pNP7-2	NP7	22/09/2016	South Korea: Changwon	rep_cluster_263	NA	NA	NA	Non-mobilizable
NZ_CP024446.1	Moraxella osloensis strain NP7 plasmid pNP7-3, complete sequence	circular	65541	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis	pNP7-3	NP7	22/09/2016	South Korea: Changwon	NA	NA	NA	NA	Non-mobilizable
NZ_CP024447.1	Moraxella osloensis strain NP7 plasmid pNP7-4, complete sequence	circular	61809	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis	pNP7-4	NP7	22/09/2016	South Korea: Changwon	rep_cluster_1030	NA	NA	NA	Non-mobilizable
NZ_CP024448.1	Moraxella osloensis strain NP7 plasmid pNP7-5, complete sequence	circular	59633	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis	pNP7-5	NP7	22/09/2016	South Korea: Changwon	NA	NA	NA	NA	Non-mobilizable
NZ_CP024449.1	Moraxella osloensis strain NP7 plasmid pNP7-6, complete sequence	circular	46732	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis	pNP7-6	NP7	22/09/2016	South Korea: Changwon	NA	NA	NA	NA	Non-mobilizable
NZ_CP024450.1	Moraxella osloensis strain NP7 plasmid pNP7-7, complete sequence	circular	13817	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis	pNP7-7	NP7	22/09/2016	South Korea: Changwon	NA	NA	NA	NA	Non-mobilizable
NZ_CP024452.1	Chlamydia psittaci strain GIMC 2005:CpsCP1 plasmid pCpsCP1, complete sequence	circular	7553	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci	pCpsCP1	GIMC 2005:CpsCP1	1971	Russia: Moscow	rep_cluster_1631	NA	NA	NA	Non-mobilizable
NZ_CP024454.1	Chlamydia psittaci strain GIMC 2003:Cps25SM plasmid pCps25SM, complete sequence	circular	7553	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci	pCps25SM	GIMC 2003:Cps25SM	1964	USA	rep_cluster_1631	NA	NA	NA	Non-mobilizable
NZ_CP024456.1	Chlamydia psittaci strain GIMC 2004:CpsAP23 plasmid pCpsAP23, complete sequence	circular	7549	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci	pCpsAP23	GIMC 2004:CpsAP23	1971	Russia: Moscow	rep_cluster_1631	NA	NA	NA	Non-mobilizable
NZ_CP024459.1	Klebsiella pneumoniae strain QS17-0161 plasmid pMR0617aac, complete sequence	circular	211313	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pMR0617aac	QS17-0161	May-2017	Thailand: Chonburi	IncFIB,IncFII,IncFII	MOBF	MPF_F	NA	Conjugative
NZ_CP024460.1	Klebsiella pneumoniae strain QS17-0161 plasmid pMRSN480738_112.7, complete sequence	circular	112745	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pMRSN480738_112.7	QS17-0161	May-2017	Thailand: Chonburi	IncFIB	NA	NA	NA	Non-mobilizable
NZ_CP024461.1	Klebsiella pneumoniae strain QS17-0161 plasmid pMR0617tem, complete sequence	circular	77269	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pMR0617tem	QS17-0161	May-2017	Thailand: Chonburi	IncFII	MOBP	MPF_I	NA	Conjugative
NZ_CP024462.1	Klebsiella pneumoniae strain QS17-0161 plasmid pMR0617mcr1, complete sequence	circular	33858	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pMR0617mcr1	QS17-0161	May-2017	Thailand: Chonburi	IncX4	MOBP	MPF_T	NA	Conjugative
NZ_CP024463.1	Klebsiella pneumoniae strain QS17-0161 plasmid pMRSN480738_10.0, complete sequence	circular	10046	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pMRSN480738_10.0	QS17-0161	May-2017	Thailand: Chonburi	ColRNAI_rep_cluster_1857	MOBC	NA	NA	Mobilizable
NZ_CP024464.1	Klebsiella pneumoniae strain QS17-0161 plasmid pMRSN480738_2.8, complete sequence	circular	2780	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pMRSN480738_2.8	QS17-0161	May-2017	Thailand: Chonburi	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024465.1	Klebsiella pneumoniae strain QS17-0161 plasmid pMRSN480738_1.6, complete sequence	circular	1551	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pMRSN480738_1.6	QS17-0161	May-2017	Thailand: Chonburi	ColRNAI_rep_cluster_1885	NA	NA	MOB_unknown,MOBP	Mobilizable
NZ_CP024480.1	Escherichia coli strain 2011C-4315 plasmid unnamed1, complete sequence	circular	77062	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unnamed1	2011C-4315	08/09/2011	NA	IncFIB	MOBP,MOBF	MPF_Unknown	MOBF	Conjugative
NZ_CP024481.1	Escherichia coli strain 2011C-4315 plasmid unnamed2, complete sequence	circular	105489	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unnamed2	2011C-4315	08/09/2011	NA	IncI1	MOBP	MPF_I	MOBP	Conjugative
NZ_CP024483.1	Klebsiella pneumoniae strain INF322 plasmid unnamed1, complete sequence	circular	243634	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	INF322	NA	NA	IncFII,IncFIB	MOBF	MPF_F	NA	Conjugative
NZ_CP024484.1	Klebsiella pneumoniae strain INF322 plasmid unnamed2, complete sequence	circular	71104	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	INF322	NA	NA	IncFIA,IncFII	NA	NA	NA	Non-mobilizable
NZ_CP024485.1	Klebsiella pneumoniae strain INF322 plasmid unnamed3, complete sequence	circular	4228	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	INF322	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1857	NA	NA	NA	Non-mobilizable
NZ_CP024486.1	Klebsiella pneumoniae strain INF322 plasmid unnamed4, complete sequence	circular	3514	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	INF322	NA	NA	ColRNAI_rep_cluster_1987	MOBP,MOBP	NA	MOBP	Mobilizable
NZ_CP024487.1	Klebsiella pneumoniae strain INF322 plasmid unnamed5, complete sequence	circular	3223	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	INF322	NA	NA	ColRNAI_rep_cluster_1987	MOBP	NA	MOBP	Mobilizable
NZ_CP024491.1	Klebsiella pneumoniae strain INF249 plasmid unnamed2, complete sequence	circular	6657	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	INF249	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024492.1	Klebsiella pneumoniae strain INF249 plasmid unnamed3, complete sequence	circular	5783	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	INF249	NA	NA	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024493.1	Klebsiella pneumoniae strain INF249 plasmid unnamed4, complete sequence	circular	3514	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	INF249	NA	NA	ColRNAI_rep_cluster_1987	MOBP	NA	MOBP	Mobilizable
NZ_CP024494.1	Klebsiella pneumoniae strain INF249 plasmid unnamed5, complete sequence	circular	3223	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	INF249	NA	NA	ColRNAI_rep_cluster_1987	MOBP	NA	MOBP	Mobilizable
NZ_CP024495.1	Klebsiella pneumoniae strain INF249 plasmid unnamed6, complete sequence	circular	2723	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed6	INF249	NA	NA	NA	NA	NA	MOBP	Mobilizable
NZ_CP024497.1	Klebsiella pneumoniae strain KSB1_7E plasmid unnamed1, complete sequence	circular	212097	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	KSB1_7E	NA	NA	rep_cluster_1150	MOBH	MPF_F	NA	Conjugative
NZ_CP024498.1	Klebsiella pneumoniae strain KSB1_7E plasmid unnamed2, complete sequence	circular	4064	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	KSB1_7E	NA	NA	NA	NA	NA	NA	Non-mobilizable
NZ_CP024500.1	Klebsiella pneumoniae strain KSB1_4E plasmid unnamed1, complete sequence	circular	243620	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	KSB1_4E	NA	NA	IncFII,IncFIB	MOBF	MPF_F	NA	Conjugative
NZ_CP024501.1	Klebsiella pneumoniae strain KSB1_4E plasmid unnamed2, complete sequence	circular	212195	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	KSB1_4E	NA	NA	rep_cluster_1150	MOBH	MPF_F	NA	Conjugative
NZ_CP024502.1	Klebsiella pneumoniae strain KSB1_4E plasmid unnamed3, complete sequence	circular	4064	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	KSB1_4E	NA	NA	NA	NA	NA	NA	Non-mobilizable
NZ_CP024503.1	Klebsiella pneumoniae strain KSB1_4E plasmid unnamed4, complete sequence	circular	3223	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	KSB1_4E	NA	NA	ColRNAI_rep_cluster_1987	MOBP	NA	MOBP	Mobilizable
NZ_CP024505.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed9, complete sequence	circular	3012	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed9	KSB2_1B	NA	NA	NA	NA	NA	NA	Non-mobilizable
NZ_CP024506.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed10, complete sequence	circular	2936	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed10	KSB2_1B	NA	NA	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024507.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed1, complete sequence	circular	310025	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	KSB2_1B	NA	NA	rep_cluster_1150	MOBH	MPF_F	NA	Conjugative
NZ_CP024508.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed2, complete sequence	circular	228353	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	KSB2_1B	NA	NA	IncFII,IncFIB	MOBF	MPF_F	NA	Conjugative
NZ_CP024509.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed3, complete sequence	circular	140704	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	KSB2_1B	NA	NA	IncFII,rep_cluster_959	MOBF	MPF_F	NA	Conjugative
NZ_CP024510.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed4, complete sequence	circular	98344	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	KSB2_1B	NA	NA	IncFII,rep_cluster_1418	MOBF	MPF_F	NA	Conjugative
NZ_CP024511.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed5, complete sequence	circular	3514	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	KSB2_1B	NA	NA	ColRNAI_rep_cluster_1987	MOBP,MOBP	NA	MOBP	Mobilizable
NZ_CP024512.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed6, complete sequence	circular	3377	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed6	KSB2_1B	NA	NA	ColRNAI_rep_cluster_1857	NA	NA	MOBP	Mobilizable
NZ_CP024513.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed7, complete sequence	circular	3336	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed7	KSB2_1B	NA	NA	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
NZ_CP024514.1	Klebsiella pneumoniae strain KSB2_1B plasmid unnamed8, complete sequence	circular	3223	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed8	KSB2_1B	NA	NA	ColRNAI_rep_cluster_1987	MOBP	NA	MOBP	Mobilizable
NZ_CP024516.1	Klebsiella pneumoniae strain KSB1_10J plasmid unnamed1, complete sequence	circular	227807	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	KSB1_10J	NA	NA	IncFII,IncFIB	MOBF	MPF_F	NA	Conjugative
NZ_CP024517.1	Klebsiella pneumoniae strain KSB1_10J plasmid unnamed2, complete sequence	circular	212079	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	KSB1_10J	NA	NA	rep_cluster_1150	MOBH	MPF_F	NA	Conjugative
NZ_CP024518.1	Klebsiella pneumoniae strain KSB1_10J plasmid unnamed3, complete sequence	circular	4064	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	KSB1_10J	NA	NA	NA	NA	NA	NA	Non-mobilizable
NZ_CP024519.1	Klebsiella pneumoniae strain KSB1_10J plasmid unnamed4, complete sequence	circular	3223	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	KSB1_10J	NA	NA	ColRNAI_rep_cluster_1987	MOBP	NA	MOBP	Mobilizable
NZ_CP024520.1	Klebsiella pneumoniae strain KSB1_10J plasmid unnamed5, complete sequence	circular	1916	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	KSB1_10J	NA	NA	ColRNAI_rep_cluster_1987	NA	NA	MOBP	Mobilizable
NZ_CP024522.1	Klebsiella pneumoniae strain INF158 plasmid unnamed1, complete sequence	circular	221606	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	INF158	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
NZ_CP024524.1	Klebsiella pneumoniae strain INF158 plasmid unnamed3, complete sequence	circular	89345	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	INF158	NA	NA	IncR,IncFIA,rep_cluster_1418	NA	NA	NA	Non-mobilizable
NZ_CP024525.1	Klebsiella pneumoniae strain INF158 plasmid unnamed4, complete sequence	circular	4660	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	INF158	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024526.1	Klebsiella pneumoniae strain INF158 plasmid unnamed5, complete sequence	circular	4510	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed5	INF158	NA	NA	rep_cluster_2050,ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
NZ_CP024527.1	Klebsiella pneumoniae strain INF158 plasmid unnamed6, complete sequence	circular	3825	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed6	INF158	NA	NA	ColRNAI_rep_cluster_1857	NA	NA	NA	Non-mobilizable
NZ_CP024529.1	Klebsiella pneumoniae strain INF157 plasmid unnamed1, complete sequence	circular	221606	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed1	INF157	NA	NA	IncA/C2	MOBH	MPF_F	MOBH	Conjugative
NZ_CP024530.1	Klebsiella pneumoniae strain INF157 plasmid unnamed2, complete sequence	circular	147932	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed2	INF157	NA	NA	IncFII,IncFII,IncFIB	MOBF	MPF_F	NA	Conjugative
NZ_CP024531.1	Klebsiella pneumoniae strain INF157 plasmid unnamed3, complete sequence	circular	89345	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed3	INF157	NA	NA	IncFIA,rep_cluster_1418,IncR	NA	NA	NA	Non-mobilizable
NZ_CP024532.1	Klebsiella pneumoniae strain INF157 plasmid unnamed4, complete sequence	circular	4660	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	unnamed4	INF157	NA	NA	ColRNAI_rep_cluster_1987,rep_cluster_2050	NA	NA	NA	Non-mobilizable
